Прізвище Ім'я По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Василечко Мартин Гордійович,Чоловіча,2005-05-31,Програміст,селище Ланівці,"сквер Шишкіна 3-й, буд. 958 кв. 9, Ужгород, 62688",+380 (65) 544-11-42,mmatviienko@example.net
Баранник Франц Леопольдович,Чоловіча,1971-04-28,Директор,село Зугрес,"вулиця Чорноморський 13-й, буд. 778 кв. 5, Балаклія, 97479",082 765-75-72,galaganalbina@example.net
Ґереґа Ірина Ігорівна,Жіноча,1973-09-06,Програміст,село Вижниця,"парк Бузковий, буд. 406, Андрушівка, 06590",+380 34 610-30-31,viktoriia58@example.com
Лаба Тереза Устимівна,Жіноча,2005-03-16,Менеджер,хутір Таврійськ,"шосе Макарова, буд. 954 кв. 3, Ківерці, 19959",100 74 47,chervonenkooleksandr@example.com
Палій Геннадій Віталійович,Чоловіча,1989-11-18,Програміст,село Балта,"площа Терещенка Володимира, буд. 4 кв. 51, Дніпро , 59499",+380 (34) 166-49-25,kovalenkoolha@example.net
Бабак Ігор Максимович,Чоловіча,1998-01-24,Менеджер,хутір П'ятихатки,"провулок Чапаєва, буд. 77 кв. 27, Кролевець, 40975",+380 (97) 381-17-08,marynahodunok@example.com
Левченко Софія Прохорівна,Жіноча,1996-09-26,Аналітик,селище Арциз,"провулок Шостої 1-й, буд. 95, Рудки, 49758",+380 07 238-99-01,lorobets@example.org
Яковенко Опанас Несторович,Чоловіча,1949-02-01,Директор,місто Лохвиця,"вулиця Старокінний, буд. 7 кв. 468, Алмазна, 55517",+380 99 942-88-77,viktor11@example.net
Данчук Тетяна Ігорівна,Жіноча,1939-01-02,Програміст,місто Борщів,"проспект Радіальний, буд. 13 кв. 136, Петрово-Красносілля, 64317",098 492-63-41,babiichukhennadii@example.net
Литвиненко Валентин Трохимович,Чоловіча,1957-04-06,Програміст,хутір Баранівка,"узвіз Вапняна, буд. 37, Хуст, 38180",056 712 46 21,demyd33@example.net
Ткаченко Віталій Олексович,Чоловіча,1948-07-21,Аналітик,село Богодухів,"сквер Лінія 51-ша, буд. 454 кв. 25, Прип'ять , 80330",+380 (20) 778-46-43,vasylenkoorest@example.org
Забіла Ростислав Гаврилович,Чоловіча,1991-04-17,Директор,село Хрестівка,"парк 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 596 кв. 51, Скалат, 82504",960-72-33,levko61@example.net
Носаченко Амалія Аврелійовна,Жіноча,1994-07-31,Директор,село Люботин,"шосе Студена, буд. 265, Міусинськ, 73632",052 872 15 78,marta77@example.net
Скирда Федір Георгійович,Чоловіча,1953-10-26,Директор,село Соледар,"узвіз Роздольна, буд. 154, Нове Давидково, 90740",+380 12 513 81 66,baranmaryna@example.org
Лупій Еріка Ростиславівна,Жіноча,1944-01-22,Директор,село Ужгород,"сквер Юхима Фесенка, буд. 98 кв. 9, Лисичанськ, 07747",+380 79 821 98 23,jusyk@example.org
Тимченко Ярослава Ааронівна,Жіноча,1949-07-10,Менеджер,хутір Оріхів,"сквер Лінія 33-тя, буд. 3, Гайсин, 27860",734-31-27,nadiia34@example.net
Єресько Альбіна Зорянівна,Жіноча,1970-04-02,Менеджер,місто Українськ,"сквер Восьмого березня 1-й, буд. 48 кв. 14, Самбір, 36925",028 530-78-85,kshtepa@example.org
Байрак Маруся Бориславівна,Жіноча,2002-12-26,Менеджер,селище Добромиль,"проспект Довженка, буд. 7, Суходільськ, 63032",+380 27 270 66 58,roksolanazhalilo@example.net
Артюшенко Амвросій Петрович,Чоловіча,2006-01-18,Програміст,хутір Ічня,"парк Лінія 48-ма, буд. 583, Гірське, 33350",045 422-88-94,xparasiuk@example.net
Данильчук Мирон Едуардович,Чоловіча,1966-03-24,Менеджер,хутір Вишгород,"проспект Михайла Грушевського, буд. 48, Олевськ, 17670",114-41-50,tetianaandriievych@example.org
Карась Пармен Кирилович,Чоловіча,1986-03-08,Менеджер,селище Бровари,"набережна Виноградний, буд. 95, Дебальцеве, 51100",+380 61 758 87 12,xovcharenko@example.net
Шовкопляс Спас Ігнатович,Чоловіча,1982-04-13,Менеджер,хутір Монастирище,"узвіз 1-ша Суворовська, буд. 45, Голубівка, 21531",+380 93 018-17-90,nestorieresko@example.net
Скопенко Пантелеймон Васильович,Чоловіча,1969-09-19,Директор,селище Угнів,"площа Кипарисний 2-й, буд. 5 кв. 4, Гадяч, 02496",+380 (66) 758-47-91,ykadeniuk@example.net
Захарченко Борис Опанасович,Чоловіча,1995-09-17,Програміст,хутір Привілля,"вулиця Льва Толстого, буд. 8 кв. 846, Бровари, 57098",076 750 00 59,dvitruk@example.org
Смик Оксана Амвросійовна,Жіноча,1973-12-10,Програміст,місто Могилів-Подільський,"провулок Кісельова Ігоря, буд. 852, Шостка, 40126",+380 68 723-19-14,kartymovych@example.net
Ємельяненко Юстина Гаврилівна,Жіноча,1969-06-03,Директор,хутір Голубівка,"набережна Саксаганського, буд. 223 кв. 9, Гнівань, 35235",+380 65 704-63-26,hordii77@example.net
Василевич Вікторія Аврелійовна,Жіноча,1965-03-08,Менеджер,хутір Борислав,"узвіз Строганова, буд. 84 кв. 98, Лебедин, 44835",757-36-31,zakharbairak@example.org
Товстуха Вікторія Омелянівна,Жіноча,1942-10-26,Менеджер,місто Вінниця,"набережна Радісний, буд. 185 кв. 72, Карлівка, 19264",+380 00 289-96-82,gzhytskyiboleslav@example.com
Шинкаренко Ігнат Венедиктович,Чоловіча,1939-07-27,Директор,селище Жидачів,"сквер Іцхака Рабіна, буд. 14, Мерефа, 07199",031-47-37,leonandriiovych@example.net
Штокало Азар Климентович,Чоловіча,1976-07-02,Аналітик,місто Ірміно,"вулиця Госпітальний, буд. 625, Ізмаїл, 03464",740 45 26,frankosviatoslav@example.org
Бевзенко Соломія Борисівна,Жіноча,1952-11-06,Директор,селище Полонне,"площа Західний 3-й, буд. 0 кв. 75, Турка, 61554",062 044-28-56,amvrosii27@example.com
Онищенко Софія Богодарівна,Жіноча,1944-10-15,Програміст,місто Соледар,"шосе Тираспольська, буд. 3, Верхівцеве, 51385",276-73-72,halyna41@example.org
Асаула Вʼячеслав Єфремович,Чоловіча,1968-09-26,Директор,хутір Балта,"вулиця Короткий, буд. 67 кв. 94, Ясинувата, 45043",+380 86 953 41 56,ielysaveta53@example.com
Бебешко Гліб Федорович,Чоловіча,1953-02-23,Директор,селище Херсон,"набережна Гаріна, буд. 755, Алушта, 78589",+380 02 808-00-58,romanenkoklyment@example.com
Бебешко Опанас Климентович,Чоловіча,1989-04-14,Програміст,місто Дружба ,"набережна Водопровідна, буд. 63, Петрово-Красносілля, 83698",754 77 44,riaboshapkarozaliia@example.com
Зінченко Георгій Йосипович,Чоловіча,1949-07-27,Директор,хутір Копичинці,"сквер Травневий 4-й, буд. 954 кв. 3, Новодружеськ, 35757",+380 77 803-36-68,illia29@example.org
